,model,max_depth,n_bits,n_features,training_time,compilation_time,prediction_time,accuracy,f1
534,FHEDecisionTreeClassifier,6,7,14,0.9160205830121413,1.4922186250041705,642.0790332499892,0.944,0.9351851851851852
535,FHEDecisionTreeClassifier,6,7,15,0.7264328330056742,1.3149830829934217,639.7934976669785,0.956,0.9539748953974896
536,FHEDecisionTreeClassifier,6,7,16,0.8577347089885734,1.4476071250101086,645.9137695840036,0.944,0.9426229508196722
537,FHEDecisionTreeClassifier,6,7,17,0.8689311250054743,1.4659994590037968,661.9266434170131,0.94,0.9382716049382716
538,FHEDecisionTreeClassifier,6,7,18,0.7974222079792526,1.5518704160058405,642.397538499994,0.952,0.9491525423728814
539,FHEDecisionTreeClassifier,6,7,19,0.8152625839866232,1.3986403329763561,634.2436179170036,0.956,0.9558232931726908
540,FHEDecisionTreeClassifier,6,8,5,0.5318630420078989,1.542518166010268,724.2450017080118,0.948,0.9482071713147411
541,FHEDecisionTreeClassifier,6,8,6,0.6333430410013534,1.6043447080010083,684.8432581660163,0.948,0.944206008583691
542,FHEDecisionTreeClassifier,6,8,7,0.8034615419746842,1.2493249170074705,701.5681396250147,0.92,0.9152542372881356
543,FHEDecisionTreeClassifier,6,8,8,0.9716252080106642,1.4440029170073103,732.7427981250221,0.96,0.9565217391304348
544,FHEDecisionTreeClassifier,6,8,9,0.9358240829897113,1.6216587919916492,702.6981487910089,0.952,0.9495798319327731
545,FHEDecisionTreeClassifier,6,8,10,0.6811682500119787,1.3705961250234395,686.7776727500022,0.932,0.9348659003831418
546,FHEDecisionTreeClassifier,6,8,11,0.9914486249908805,1.4403893330018036,510.55087787500815,0.94,0.9367088607594937
547,FHEDecisionTreeClassifier,6,8,12,0.5174789580050856,1.0313891250116285,232.00537212501513,0.956,0.9523809523809523
548,FHEDecisionTreeClassifier,6,8,13,0.5581486659939401,1.0034850829979405,224.48299791599857,0.964,0.9623430962343096
549,FHEDecisionTreeClassifier,6,8,14,0.36088304201257415,1.0274954580236226,246.7252216670022,0.948,0.9406392694063926
550,FHEDecisionTreeClassifier,6,8,15,0.4258991660026368,0.9961951669829432,251.59060058300383,0.952,0.9491525423728814
551,FHEDecisionTreeClassifier,6,8,16,0.4425632090133149,0.9786477499874309,226.4633455830044,0.944,0.9421487603305785
552,FHEDecisionTreeClassifier,6,8,17,0.36534108300111257,1.0274254579853732,223.56211850000545,0.936,0.9344262295081968
553,FHEDecisionTreeClassifier,6,8,18,0.47039562501595356,1.0143707079987507,252.72818958299467,0.948,0.9437229437229437
554,FHEDecisionTreeClassifier,6,8,19,0.3061951670097187,1.0750877080135979,220.68641983298585,0.956,0.9558232931726908
555,FHEDecisionTreeClassifier,6,9,5,0.3069664580107201,0.9859937079891097,253.46023766699363,0.956,0.9565217391304348
556,FHEDecisionTreeClassifier,6,9,6,0.4624813330010511,0.9779467089974787,232.76387929101475,0.944,0.940677966101695
557,FHEDecisionTreeClassifier,6,9,7,0.33382116598659195,0.9291737909952644,239.50213370801066,0.932,0.9288702928870293
558,FHEDecisionTreeClassifier,6,9,8,0.3736549999739509,1.1252283329959027,265.9964199580136,0.956,0.9531914893617022
559,FHEDecisionTreeClassifier,6,9,9,0.20695504199829884,1.0038878750056028,236.54976808300125,0.948,0.9451476793248945
560,FHEDecisionTreeClassifier,6,9,10,0.3718226670171134,1.0381770420062821,249.75786270800745,0.936,0.9393939393939394
561,FHEDecisionTreeClassifier,6,9,11,0.32543374999659136,1.0180456670059357,241.71546162498998,0.944,0.9421487603305785
562,FHEDecisionTreeClassifier,6,9,12,0.5036800000234507,0.9817933749873191,264.86590366699966,0.964,0.9617021276595744
563,FHEDecisionTreeClassifier,6,9,13,0.5176066670101136,0.9871574999997392,241.23374516700278,0.968,0.9666666666666667
564,FHEDecisionTreeClassifier,6,9,14,0.4011447499797214,0.9969481659936719,238.15287066600285,0.952,0.944954128440367
565,FHEDecisionTreeClassifier,6,9,15,0.2261955829744693,1.0894068330235314,263.86835062500904,0.956,0.9543568464730291
566,FHEDecisionTreeClassifier,6,9,16,0.39832233398919925,1.1521712910034694,275.4834617909801,0.944,0.9426229508196722
567,FHEDecisionTreeClassifier,6,9,17,0.3380580000230111,1.200440249987878,248.01810454201768,0.94,0.9382716049382716
568,FHEDecisionTreeClassifier,6,9,18,0.36677204101579264,1.0322030420065857,254.7574717499665,0.948,0.9437229437229437
569,FHEDecisionTreeClassifier,6,9,19,0.3182628329959698,1.0008971249917522,239.98176424996927,0.944,0.9426229508196722
570,FHEDecisionTreeClassifier,6,10,5,0.38814145798096433,1.040700374986045,346.9820963329985,0.952,0.9523809523809523
571,FHEDecisionTreeClassifier,6,10,6,0.2035329999634996,1.0061819580150768,303.07804491597926,0.948,0.9446808510638298
572,FHEDecisionTreeClassifier,6,10,7,0.29000425001140684,1.054792292008642,300.49167662498076,0.932,0.9288702928870293
573,FHEDecisionTreeClassifier,6,10,8,0.3192665000096895,0.9589200830087066,357.2495387499803,0.968,0.9652173913043478
574,FHEDecisionTreeClassifier,6,10,9,0.28322324994951487,1.013080834003631,301.09686799999326,0.952,0.9491525423728814
575,FHEDecisionTreeClassifier,6,10,10,0.3640041670296341,1.035487084009219,317.8458962920122,0.944,0.9465648854961832
576,FHEDecisionTreeClassifier,6,10,11,0.35232712497236207,1.0729820000124164,312.81470400001854,0.956,0.9539748953974896
577,FHEDecisionTreeClassifier,6,10,12,0.46544687502318993,0.9924158750218339,323.80476575001376,0.952,0.9482758620689655
578,FHEDecisionTreeClassifier,6,10,13,0.45391816698247567,1.0334891669917852,314.39274254097836,0.976,0.975
579,FHEDecisionTreeClassifier,6,10,14,0.36944220802979544,1.052717707992997,370.29782149998937,0.952,0.944954128440367
580,FHEDecisionTreeClassifier,6,10,15,0.433041374955792,0.9654257909860462,332.46570604201406,0.956,0.9539748953974896
581,FHEDecisionTreeClassifier,6,10,16,0.3377229160396382,0.986070207960438,307.1392589159659,0.944,0.9421487603305785
582,FHEDecisionTreeClassifier,6,10,17,0.31390295800520107,1.028795166988857,308.13618445798056,0.936,0.9344262295081968
583,FHEDecisionTreeClassifier,6,10,18,0.4531070420052856,1.0117509170086123,340.915754000016,0.948,0.9446808510638298
584,FHEDecisionTreeClassifier,6,10,19,0.335363749996759,1.0920714999665506,298.0938770410139,0.944,0.943089430894309
585,FHEDecisionTreeClassifier,6,11,5,0.4589753339532763,1.0164267910295166,361.86180516699096,0.956,0.9561752988047809
586,FHEDecisionTreeClassifier,6,11,6,0.42745616601314396,1.016564792022109,321.5237223340082,0.936,0.9316239316239316
587,FHEDecisionTreeClassifier,6,11,7,0.28505083301570266,1.0814912909991108,372.3106878749677,0.932,0.9288702928870293
588,FHEDecisionTreeClassifier,6,11,8,0.30018266703700647,1.0763995830202475,421.8984713330283,0.964,0.961038961038961
589,FHEDecisionTreeClassifier,6,11,9,0.24193008296424523,1.1181017920025624,351.977171541017,0.964,0.9617021276595744
590,FHEDecisionTreeClassifier,6,11,10,0.5177319999784231,1.0442298750276677,395.4711411250173,0.956,0.9581749049429658
591,FHEDecisionTreeClassifier,6,11,11,0.46055454201996326,1.1196013750159182,368.7250340000028,0.948,0.946058091286307
592,FHEDecisionTreeClassifier,6,11,12,0.6136765420087613,1.0301198330125771,380.54200900002616,0.956,0.9523809523809523
593,FHEDecisionTreeClassifier,6,11,13,0.48782937496434897,0.9604689159896225,321.7287432080484,0.972,0.9707112970711297
594,FHEDecisionTreeClassifier,6,11,14,0.3797321249730885,0.9830155000090599,367.4671202499885,0.952,0.944954128440367
595,FHEDecisionTreeClassifier,6,11,15,0.21002337499521673,1.126466125017032,353.57490958302515,0.944,0.9421487603305785
596,FHEDecisionTreeClassifier,6,11,16,0.5178238339722157,1.0539868749910966,353.2778072920046,0.952,0.9508196721311475
597,FHEDecisionTreeClassifier,6,11,17,0.21449041698360816,0.8555943330284208,340.60442966601113,0.94,0.9377593360995851
598,FHEDecisionTreeClassifier,6,11,18,0.5164024159894325,1.1586367919808254,360.57011212501675,0.94,0.935064935064935
599,FHEDecisionTreeClassifier,6,11,19,0.5611587080056779,1.0589339169673622,343.9050257499912,0.944,0.943089430894309
600,FHEDecisionTreeClassifier,7,2,5,0.4891868330305442,0.6289909579791129,127.60159724997357,0.704,0.5934065934065934
601,FHEDecisionTreeClassifier,7,2,6,0.34105841600103304,0.6524618749972433,132.31547033402603,0.744,0.6404494382022472
602,FHEDecisionTreeClassifier,7,2,7,0.32527875003870577,0.6047232499695383,133.07138741598465,0.736,0.6526315789473685
603,FHEDecisionTreeClassifier,7,2,8,0.20120120799401775,0.6824621250270866,141.74108837498352,0.756,0.6629834254143646
604,FHEDecisionTreeClassifier,7,2,9,0.4733387919841334,0.6193704580073245,141.08481133298483,0.72,0.5977011494252874
