,model,max_depth,n_bits,n_features,training_time,compilation_time,prediction_time,accuracy,f1
91,FHERandomForestClassifier,3,8,6,0.11874558300041826,1.3644982499972684,687.9210795839972,0.916,0.9113924050632911
92,FHERandomForestClassifier,3,8,7,0.21539579200180015,1.5847349999967264,682.6407837919978,0.868,0.8641975308641975
93,FHERandomForestClassifier,3,8,8,0.11685162499634316,1.2387671250035055,697.4796647080002,0.892,0.8841201716738197
94,FHERandomForestClassifier,3,8,9,0.1666021670025657,1.3621325000058278,714.2413906660004,0.896,0.8879310344827587
95,FHERandomForestClassifier,3,8,10,0.14029262500116602,1.3103673750010785,707.3733504580014,0.868,0.8725868725868726
96,FHERandomForestClassifier,3,8,11,0.1159568750008475,1.5000629589994787,715.4497475419994,0.872,0.8632478632478633
97,FHERandomForestClassifier,3,8,12,0.13789204099884955,1.3354600840029889,723.0913131249981,0.892,0.8860759493670886
98,FHERandomForestClassifier,3,8,13,0.2162051249979413,1.553377125004772,744.3429904580044,0.908,0.9090909090909091
99,FHERandomForestClassifier,3,8,14,0.22188091700081713,1.3662184170025284,702.1051776249951,0.852,0.8438818565400844
100,FHERandomForestClassifier,3,8,15,0.2911111250068643,1.5035282500030007,687.2483967080043,0.892,0.889795918367347
101,FHERandomForestClassifier,3,8,16,0.17457245800324017,1.2859980409994023,715.0247167920024,0.876,0.8774703557312253
102,FHERandomForestClassifier,3,8,17,0.13435533300071256,1.2567448339978,715.683119541005,0.88,0.8780487804878049
103,FHERandomForestClassifier,3,8,18,0.27654166700085625,1.5860293330042623,725.8861173330006,0.872,0.8596491228070176
104,FHERandomForestClassifier,3,8,19,0.1712779590015998,1.4549202080015675,745.2992880829988,0.904,0.9047619047619048
105,FHERandomForestClassifier,3,9,5,0.2052899999980582,1.560869458000525,838.2388689580039,0.916,0.9176470588235294
106,FHERandomForestClassifier,3,9,6,0.11135775000002468,1.2908987089977018,816.6979186669996,0.904,0.8983050847457628
107,FHERandomForestClassifier,3,9,7,0.1141851670035976,1.765716916997917,830.2166177089966,0.856,0.847457627118644
108,FHERandomForestClassifier,3,9,8,0.14776979100133758,1.3406325830001151,791.8132017499956,0.884,0.8816326530612245
109,FHERandomForestClassifier,3,9,9,0.13966929199523292,1.4011013330018613,773.9053304170011,0.916,0.9135802469135802
110,FHERandomForestClassifier,3,9,10,0.43836225000268314,1.500969749999058,814.5647025420039,0.88,0.8846153846153846
111,FHERandomForestClassifier,3,9,11,0.20617633299843874,1.6068342910002684,841.3222864589989,0.868,0.8685258964143426
112,FHERandomForestClassifier,3,9,12,0.19835908399545588,1.4373362080004881,832.9244217919986,0.884,0.8835341365461847
113,FHERandomForestClassifier,3,9,13,0.1455779999960214,1.909676124996622,841.7555047080023,0.912,0.9105691056910569
114,FHERandomForestClassifier,3,9,14,0.18768583299970487,1.7867266249959357,832.021885874994,0.864,0.8425925925925926
115,FHERandomForestClassifier,3,9,15,0.20455525000579655,1.3355186670014518,824.7087680409968,0.876,0.8680851063829788
116,FHERandomForestClassifier,3,9,16,0.21965770799579332,1.3953260830021463,828.4544010000027,0.884,0.8871595330739299
117,FHERandomForestClassifier,3,9,17,0.19658387499657692,1.3483467909973115,793.5848495829996,0.888,0.8852459016393442
118,FHERandomForestClassifier,3,9,18,0.22741025000141235,1.4085820420004893,782.7629238750014,0.884,0.8755364806866953
119,FHERandomForestClassifier,3,9,19,0.22372149999864632,1.2711897499975748,780.1085691249973,0.892,0.896551724137931
120,FHERandomForestClassifier,3,10,5,0.12829408400284592,1.2855134169949451,1018.5553259170047,0.928,0.9291338582677166
121,FHERandomForestClassifier,3,10,6,0.1650122499995632,1.3720690839982126,1051.8042956670033,0.908,0.9029535864978903
122,FHERandomForestClassifier,3,10,7,0.1504247090051649,1.6019458749942714,1046.5233045409987,0.88,0.8790322580645161
123,FHERandomForestClassifier,3,10,8,0.24194020799768623,1.4992646669998066,1063.5826484579957,0.868,0.8653061224489796
124,FHERandomForestClassifier,3,10,9,0.2139264169964008,1.4620549169994774,1088.282121958,0.904,0.8956521739130435
125,FHERandomForestClassifier,3,10,10,0.16644741699565202,1.4258333340039826,1076.140950041001,0.872,0.8778625954198473
126,FHERandomForestClassifier,3,10,11,0.17964554199716076,1.452099709000322,1108.6421799579985,0.856,0.8434782608695652
127,FHERandomForestClassifier,3,10,12,0.19847070799733046,1.4506704169980367,1062.565805833001,0.88,0.8706896551724138
128,FHERandomForestClassifier,3,10,13,0.2765885420012637,1.2070617499994114,995.507021999998,0.912,0.9098360655737705
129,FHERandomForestClassifier,3,10,14,0.2949203750031302,1.5424349579989212,1004.085659832992,0.848,0.8333333333333334
130,FHERandomForestClassifier,3,10,15,0.17856491700513288,1.334466041997075,1012.93015220901,0.9,0.895397489539749
131,FHERandomForestClassifier,3,10,16,0.2300813749898225,1.5366875839972636,1052.8537355000008,0.88,0.8828125
132,FHERandomForestClassifier,3,10,17,0.17986429200391285,1.2548757920012577,1063.0826369589922,0.884,0.8853754940711462
133,FHERandomForestClassifier,3,10,18,0.3857812499918509,1.7468266659998335,1031.103333957988,0.884,0.8765957446808511
134,FHERandomForestClassifier,3,10,19,0.1966392089962028,1.654877042004955,1046.732577540999,0.892,0.8949416342412452
135,FHERandomForestClassifier,3,11,5,0.20076433299982455,1.3119041250029113,1157.896533541003,0.9,0.8979591836734694
136,FHERandomForestClassifier,3,11,6,0.17510354200203437,1.5180283340014284,1170.1076614170015,0.904,0.8974358974358975
